part_no,internal_model,external_model
1.0.01.04.45233-9001,DH-IPC-MFW5241T2P-E3-ASE-0360/1200/2500B-QH-Black,DH-IPC-MFW5241T2-E3-ASE-Black
1.0.01.04.40225-0009,DH-IPC-PFW5849P-A180-E2-ASTE-0360B,DH-IPC-PFW5849-A180-E2-ASTE
1.0.01.04.40225-9001,DH-IPC-PFW5849P-A180-E2-ASTE-0360B,DH-IPC-PFW5849-A180-E2-ASTE
1.0.01.04.40474-0002,DH-IPC-PDW5849P-A180-E2-ASTE-0360B,DH-IPC-PDW5849-A180-E2-ASTE
1.0.01.04.40474-0010,DH-IPC-PDW5849P-A180-E2-ASTE-0360B,DH-IPC-PDW5849-A180-E2-ASTE-Black
1.0.01.04.46688-9001,DH-IPC-HFW5459T1P-ASE-PV-0360B-PRO-Black,DH-IPC-HFW5459T1-ASE-PV-PRO-Black
1.0.01.04.46687-9001,DH-IPC-HFW5459T1P-ASE-PV-0280B-PRO-Black,DH-IPC-HFW5459T1-ASE-PV-PRO-Black
1.0.01.04.46682,DH-IPC-HFW5459T1P-ASE-PV-0360B-PRO,DH-IPC-HFW5459T1-ASE-PV-PRO
1.0.01.04.46682-9001,DH-IPC-HFW5459T1P-ASE-PV-0360B-PRO,DH-IPC-HFW5459T1-ASE-PV-PRO
1.0.01.04.46681-9001,DH-IPC-HFW5459T1P-ASE-PV-0280B-PRO,DH-IPC-HFW5459T1-ASE-PV-PRO
1.0.01.04.46376-9001,DH-IPC-HDW5459HP-ASE-PV-0360B-PRO-Black,DH-IPC-HDW5459H-ASE-PV-PRO-Black
1.0.01.04.46375-9001,DH-IPC-HDW5459HP-ASE-PV-0280B-PRO-Black,DH-IPC-HDW5459H-ASE-PV-PRO-Black
1.0.01.04.46370-9001,DH-IPC-HDW5459HP-ASE-PV-0360B-PRO,DH-IPC-HDW5459H-ASE-PV-PRO
1.0.01.04.46369-9001,DH-IPC-HDW5459HP-ASE-PV-0280B-PRO,DH-IPC-HDW5459H-ASE-PV-PRO
1.0.01.04.46215-9001,DH-IPC-HDBW5459R1P-ASE-PV-0360B-PRO-Black,DH-IPC-HDBW5459R1-ASE-PV-PRO-Black
1.0.01.04.46214-9001,DH-IPC-HDBW5459R1P-ASE-PV-0280B-PRO-Black,DH-IPC-HDBW5459R1-ASE-PV-PRO-Black
1.0.01.04.46209-9001,DH-IPC-HDBW5459R1P-ASE-PV-0360B-PRO,DH-IPC-HDBW5459R1-ASE-PV-PRO
1.0.01.04.46208-9001,DH-IPC-HDBW5459R1P-ASE-PV-0280B-PRO,DH-IPC-HDBW5459R1-ASE-PV-PRO
1.0.01.04.47653-9002,DH-IPC-HDW5459HP-ASE-PV-0280B-PRO-ATC,DH-IPC-HDW5459H-ASE-PV-PRO-ATC
1.0.01.04.47654-9002,DH-IPC-HDW5459HP-ASE-PV-0360B-PRO-ATC,DH-IPC-HDW5459H-ASE-PV-PRO-ATC
1.0.01.04.48006-9001,DH-IPC-HFW5459T1P-ASE-PV-0360B-PRO-ATC,DH-IPC-HFW5459T1-ASE-PV-PRO-ATC
1.0.01.04.48004-9001,DH-IPC-HFW5459T1P-ASE-PV-0280B-PRO-ATC,DH-IPC-HFW5459T1-ASE-PV-PRO-ATC
1.0.01.04.48047-9001,DH-IPC-HDBW5459R1P-ASE-PV-0360B-PRO-ATC,DH-IPC-HDBW5459R1-ASE-PV-PRO-ATC
1.0.01.04.48046-9001,DH-IPC-HDBW5459R1P-ASE-PV-0280B-PRO-ATC,DH-IPC-HDBW5459R1-ASE-PV-PRO-ATC
1.0.01.04.46210-9001,DH-IPC-HDBW5659R1P-ASE-PV-0280B-PRO,DH-IPC-HDBW5659R1-ASE-PV-PRO
1.0.01.04.46211-9001,DH-IPC-HDBW5659R1P-ASE-PV-0360B-PRO,DH-IPC-HDBW5659R1-ASE-PV-PRO
1.0.01.04.46217-9001,DH-IPC-HDBW5659R1P-ASE-PV-0360B-PRO-Black,DH-IPC-HDBW5659R1-ASE-PV-PRO-Black
1.0.01.04.46216-9001,DH-IPC-HDBW5659R1P-ASE-PV-0280B-PRO-Black,DH-IPC-HDBW5659R1-ASE-PV-PRO-Black
1.0.01.04.46690-9001,DH-IPC-HFW5659T1P-ASE-PV-0360B-PRO-Black,DH-IPC-HFW5659T1-ASE-PV-PRO-Black
